date,site,who,transect,segment,round,gross_ID,plant,insect_order
6/26/19,Brush Creek,MDC,K1,1,1,Small black solitary bee,Agoseris glauca,Hymenoptera
6/26/19,Brush Creek,MDC,K1,1,1,Small metallic solitary bee,Agoseris glauca,Hymenoptera
6/26/19,Brush Creek,KA,K1,1,2,Other fly,Lomatium dissectum,Diptera
6/26/19,Brush Creek,KA,K1,1,2,Other fly,Agoseris glauca,Diptera
6/26/19,Brush Creek,MDC,K2,1,2,Small black solitary bee,Lomatium dissectum,Hymenoptera
6/26/19,Brush Creek,MDC,K2,1,2,Wasps,Agoseris glauca,Hymenoptera
6/26/19,Brush Creek,MDC,K2,2,1,Small black solitary bee,Agoseris glauca,Hymenoptera
6/26/19,Brush Creek,KA,K3,2,1,Small black solitary bee,Lomatium dissectum,Hymenoptera
6/26/19,Brush Creek,KA,K3,2,1,Small black solitary bee,Lomatium dissectum,Hymenoptera
6/26/19,Brush Creek,KA,K1,3,2,Small black solitary bee,Lomatium dissectum,Hymenoptera
6/26/19,Brush Creek,KA,K3,3,1,Other fly,Boechera stricta,Diptera
6/26/19,Brush Creek,KA,K1,4,2,Small black solitary bee,Lomatium dissectum,Hymenoptera
6/26/19,Brush Creek,KA,K3,4,1,Small black solitary bee,Lomatium dissectum,Hymenoptera
6/26/19,Brush Creek,MDC,K3,4,2,Hemipteran,Agoseris glauca,Hemiptera
6/26/19,Brush Creek,KA,K1,5,2,Small black solitary bee,Lomatium dissectum,Hymenoptera
6/26/19,Brush Creek,KA,K1,5,2,Other fly,Lomatium dissectum,Diptera
6/26/19,Brush Creek,KA,K3,5,1,Wasps,Delphinium occidentale,Hymenoptera
7/3/19,Brush Creek,KA,K1,2,1,Other fly,Lomatium dissectum,Diptera
7/3/19,Brush Creek,KA,K2,2,1,Small black solitary bee,Lomatium dissectum,Hymenoptera
7/3/19,Brush Creek,KA,K3,2,2,Beetles,Lomatium dissectum,Coleoptera
7/3/19,Brush Creek,KA,K1,3,1,Bombus insularis,Wyethia amplexicaulis,Hymenoptera
7/3/19,Brush Creek,KA,K1,3,1,Small black solitary bee,Lomatium dissectum,Hymenoptera
7/3/19,Brush Creek,KA,K3,3,2,Other fly,Boechera stricta,Diptera
7/11/19,Brush Creek,KA,K1,1,1,Other fly,Linum lewisii,Diptera
7/11/19,Brush Creek,KA,K1,1,1,Syrphidae,Erigeron speciosus,Diptera
7/11/19,Brush Creek,KA,K3,1,2,Syrphidae,Collomia linearis,Diptera
7/11/19,Brush Creek,KA,K2,2,1,Syrphidae,Lomatium dissectum,Diptera
7/11/19,Brush Creek,KA,K3,2,2,Bombus unknown,Delphinium occidentale,Hymenoptera
7/11/19,Brush Creek,BB,K1,3,2,Wasps,Collomia linearis,Hymenoptera
7/11/19,Brush Creek,BB,K2,4,1,Bombyliidae,Collomia linearis,Diptera
7/11/19,Brush Creek,KA,K3,4,1,Syrphidae,Collomia linearis,Diptera
7/17/19,Virginia Basin,SP,T3,1,1,Syrphidae,Viola praemorsa,Diptera
7/17/19,Virginia Basin,MDC,T1,2,1,Syrphidae,Draba aurea,Diptera
7/17/19,Virginia Basin,MDC,T1,2,1,Other fly,Draba aurea,Diptera
7/17/19,Virginia Basin,CM,T2,2,1,Bombyliidae,Androsace septentrionalis,Diptera
7/17/19,Virginia Basin,SP,T3,5,1,Other fly,Fragaria virginiana,Diptera
7/18/19,Brush Creek,KA,K1,1,1,Hemipteran,Erigeron speciosus,Hemiptera
7/18/19,Brush Creek,KA,K3,1,1,Moths,Erigeron speciosus,Lepidoptera
7/18/19,Brush Creek,BD,K2,2,1,Beetles,Wyethia amplexicaulis,Coleoptera
7/18/19,Brush Creek,BD,K2,3,2,Small black solitary bee,Erigeron speciosus,Hymenoptera
7/18/19,Brush Creek,KA,K2,4,2,Beetles,Agastache urticifolia,Coleoptera
7/18/19,Brush Creek,KA,K2,4,2,Small black solitary bee,Erigeron speciosus,Hymenoptera
7/18/19,Brush Creek,BD,K3,5,1,Small black solitary bee,Calochortus gunnisonii,Hymenoptera
7/24/19,Virginia Basin,AL,T1,1,1,Syrphidae,Ligusticum porteri,Diptera
7/24/19,Virginia Basin,SP,T2,1,1,Hemipteran,Pseudocymopterus montanus,Hemiptera
7/24/19,Virginia Basin,TR,T3,1,1,Small black solitary bee,Fragaria virginiana,Hymenoptera
