,date,site,transect,segment,plant,total_flowers,notes
1,6/26/19,Brush Creek,K1,1,Lomatium dissectum,6,
2,6/26/19,Brush Creek,K1,1,Agoseris glauca,3,
3,6/26/19,Brush Creek,K1,1,Castilleja miniata,1,
4,6/26/19,Brush Creek,K1,1,Boechera stricta,3,
5,6/26/19,Brush Creek,K1,1,Lathyrus leucanthus,5,
6,6/26/19,Brush Creek,K1,2,Agoseris glauca,2,
7,6/26/19,Brush Creek,K1,2,Wyethia amplexicaulis,4,
8,6/26/19,Brush Creek,K1,3,Wyethia amplexicaulis,3,
9,6/26/19,Brush Creek,K1,3,Agoseris glauca,6,
10,6/26/19,Brush Creek,K1,3,Lomatium dissectum,10,
11,6/26/19,Brush Creek,K1,3,Lathyrus leucanthus,4,
12,6/26/19,Brush Creek,K1,4,Lathyrus leucanthus,11,
13,6/26/19,Brush Creek,K1,4,Lomatium dissectum,13,
14,6/26/19,Brush Creek,K1,5,Lomatium dissectum,17,
15,6/26/19,Brush Creek,K2,5,Lomatium dissectum,20,
16,6/26/19,Brush Creek,K2,5,Lathyrus leucanthus,20,
17,6/26/19,Brush Creek,K2,4,Lomatium dissectum,4,
18,6/26/19,Brush Creek,K2,4,Lathyrus leucanthus,24,
19,6/26/19,Brush Creek,K2,3,Mertensia fusiformis,10,
20,6/26/19,Brush Creek,K2,3,Wyethia amplexicaulis,8,
21,6/26/19,Brush Creek,K2,3,Agoseris glauca,2,
22,6/26/19,Brush Creek,K2,3,Lomatium dissectum,5,
23,6/26/19,Brush Creek,K2,3,Lathyrus leucanthus,14,
24,6/26/19,Brush Creek,K2,2,Lomatium dissectum,19,
25,6/26/19,Brush Creek,K2,2,Lathyrus leucanthus,17,
26,6/26/19,Brush Creek,K2,2,Agoseris glauca,1,
27,6/26/19,Brush Creek,K2,1,Lomatium dissectum,24,
28,6/26/19,Brush Creek,K2,1,Mertensia fusiformis,14,
29,6/26/19,Brush Creek,K2,1,Lathyrus leucanthus,1,
30,6/26/19,Brush Creek,K3,1,Mertensia fusiformis,4,
31,6/26/19,Brush Creek,K3,1,Lomatium dissectum,4,
32,6/26/19,Brush Creek,K3,1,Lathyrus leucanthus,7,
33,6/26/19,Brush Creek,K3,2,Lomatium dissectum,22,
34,6/26/19,Brush Creek,K3,2,Boechera stricta,5,
35,6/26/19,Brush Creek,K3,2,Agoseris glauca,2,
36,6/26/19,Brush Creek,K3,2,Mertensia fusiformis,21,
37,6/26/19,Brush Creek,K3,3,Lathyrus leucanthus,12,
38,6/26/19,Brush Creek,K3,3,Boechera stricta,14,
39,6/26/19,Brush Creek,K3,2,Lathyrus leucanthus,2,
40,6/26/19,Brush Creek,K3,4,Lomatium dissectum,11,
41,6/26/19,Brush Creek,K3,4,Agoseris glauca,1,
42,6/26/19,Brush Creek,K3,4,Lathyrus leucanthus,8,
43,6/26/19,Brush Creek,K3,5,Lathyrus leucanthus,23,
44,6/26/19,Brush Creek,K3,5,Lomatium dissectum,23,
45,7/3/19,Brush Creek,K1,1,Collomia linearis,84,
46,7/3/19,Brush Creek,K1,1,Castilleja miniata,2,
47,7/3/19,Brush Creek,K1,1,Lathyrus leucanthus,13,
48,7/3/19,Brush Creek,K1,1,Linum lewisii,5,Closed when we counted
49,7/3/19,Brush Creek,K1,1,Lomatium dissectum,1,
50,7/3/19,Brush Creek,K1,2,Collomia linearis,13,
51,7/3/19,Brush Creek,K1,2,Lathyrus leucanthus,19,
52,7/3/19,Brush Creek,K1,2,Wyethia amplexicaulis,4,
53,7/3/19,Brush Creek,K1,3,Wyethia amplexicaulis,7,
54,7/3/19,Brush Creek,K1,3,Collomia linearis,51,
55,7/3/19,Brush Creek,K1,3,Lathyrus leucanthus,7,
56,7/3/19,Brush Creek,K1,3,Lomatium dissectum,4,
57,7/3/19,Brush Creek,K1,4,Collomia linearis,29,
58,7/3/19,Brush Creek,K1,4,Lathyrus leucanthus,23,
59,7/3/19,Brush Creek,K1,4,Lomatium dissectum,4,
60,7/3/19,Brush Creek,K1,5,Collomia linearis,27,
61,7/3/19,Brush Creek,K1,5,Lathyrus leucanthus,8,
62,7/3/19,Brush Creek,K1,5,Agastache urticifolia,4,
63,7/3/19,Brush Creek,K1,5,Wyethia amplexicaulis,7,
64,7/3/19,Brush Creek,K1,5,Lomatium dissectum,8,
65,7/3/19,Brush Creek,K2,5,Castilleja miniata,3,
66,7/3/19,Brush Creek,K2,5,Collomia linearis,109,
67,7/3/19,Brush Creek,K2,5,Lathyrus leucanthus,42,
68,7/3/19,Brush Creek,K2,5,Lomatium dissectum,3,
69,7/3/19,Brush Creek,K2,4,Collomia linearis,78,
70,7/3/19,Brush Creek,K2,4,Lathyrus leucanthus,62,
71,7/3/19,Brush Creek,K2,4,Agoseris glauca,1,
72,7/3/19,Brush Creek,K2,4,Lomatium dissectum,3,
73,7/3/19,Brush Creek,K2,4,Agastache urticifolia,1,
74,7/3/19,Brush Creek,K2,3,Wyethia amplexicaulis,17,
75,7/3/19,Brush Creek,K2,3,Collomia linearis,40,
76,7/3/19,Brush Creek,K2,3,Lathyrus leucanthus,18,
77,7/3/19,Brush Creek,K2,3,Linum lewisii,12,Closed when we counted
78,7/3/19,Brush Creek,K2,3,Lomatium dissectum,1,
79,7/3/19,Brush Creek,K2,2,Agastache urticifolia,5,
80,7/3/19,Brush Creek,K2,2,Lomatium dissectum,8,
81,7/3/19,Brush Creek,K2,2,Lathyrus leucanthus,41,
82,7/3/19,Brush Creek,K2,2,Wyethia amplexicaulis,1,
83,7/3/19,Brush Creek,K2,2,Delphinium nuttallianum,1,
84,7/3/19,Brush Creek,K2,2,Collomia linearis,4,
85,7/3/19,Brush Creek,K2,1,Agastache urticifolia,1,
86,7/3/19,Brush Creek,K2,1,Collomia linearis,27,
87,7/3/19,Brush Creek,K2,1,Lathyrus leucanthus,17,
88,7/3/19,Brush Creek,K2,1,Lomatium dissectum,1,
89,7/3/19,Brush Creek,K3,1,Collomia linearis,10,
90,7/3/19,Brush Creek,K3,1,Lathyrus leucanthus,7,
91,7/3/19,Brush Creek,K3,1,Vicia americana,1,
92,7/3/19,Brush Creek,K3,1,Lomatium dissectum,1,
93,7/3/19,Brush Creek,K3,2,Vicia americana,6,
94,7/3/19,Brush Creek,K3,2,Agoseris glauca,1,
95,7/3/19,Brush Creek,K3,2,Lomatium dissectum,5,
96,7/3/19,Brush Creek,K3,2,Collomia linearis,3,
97,7/3/19,Brush Creek,K3,2,Boechera stricta,1,
98,7/3/19,Brush Creek,K3,3,Wyethia amplexicaulis,4,
99,7/3/19,Brush Creek,K3,3,Collomia linearis,28,
100,7/3/19,Brush Creek,K3,3,Boechera stricta,3,
101,7/3/19,Brush Creek,K3,3,Agoseris glauca,1,
