bites,replicate_id,type,treatment,cross-treatment_group,root_type,pot_id,slide_id,views,blue,hyphae,extraradical,vesicle,arbuscule,spore,dse,microsclerotia,prop_total,prop_hyphae,prop_extra,prop_vesicle,prop_arb,prop_spore,prop_dse,prop_microsclerotia
32,6,host,innoculated,2,host,6ai,113,49,6,3,1,0,0,0,0,0,0.122,0.061,0.020,0.000,0.000,0.000,0.000,0.000
20,4,host,innoculated,2,host,4ai,155,67,30,21,2,3,0,4,0,0,0.448,0.313,0.030,0.045,0.000,0.060,0.000,0.000
2,1,host,innoculated,2,host,1ai,38,50,13,11,3,2,0,0,0,0,0.260,0.220,0.060,0.040,0.000,0.000,0.000,0.000
26,5,host,innoculated,2,host,5ai,79,78,18,12,2,0,0,0,0,0,0.231,0.154,0.026,0.000,0.000,0.000,0.000,0.000
8,2,host,innoculated,2,host,2ai,33,86,33,26,6,1,0,1,0,0,0.384,0.302,0.070,0.012,0.000,0.012,0.000,0.000
14,3,host,innoculated,2,host,3ai,149,94,18,13,5,0,0,0,0,0,0.191,0.138,0.053,0.000,0.000,0.000,0.000,0.000
62,11,host,innoculated,2,host,11ai,29,100,41,35,6,0,0,0,0,0,0.410,0.350,0.060,0.000,0.000,0.000,0.000,0.000
38,7,host,innoculated,2,host,7ai,115,57,16,13,1,0,0,0,0,0,0.281,0.228,0.018,0.000,0.000,0.000,0.000,0.000
44,8,host,innoculated,2,host,8ai,75,53,27,14,2,0,0,0,7,0,0.509,0.264,0.038,0.000,0.000,0.000,0.132,0.000
50,9,host,innoculated,2,host,9ai,159,67,25,22,5,5,1,0,0,0,0.373,0.328,0.075,0.075,0.015,0.000,0.000,0.000
56,10,host,innoculated,2,host,10ai,28,74,17,15,2,0,1,0,0,0,0.230,0.203,0.027,0.000,0.014,0.000,0.000,0.000
68,12,host,innoculated,2,host,12ai,70,52,27,22,7,6,0,0,0,0,0.519,0.423,0.135,0.115,0.000,0.000,0.000,0.000
31,6,host,sterilized,1,host,6as,50,65,9,5,0,0,0,1,0,0,0.138,0.077,0.000,0.000,0.000,0.015,0.000,0.000
37,7,host,sterilized,1,host,7as,63,76,6,1,1,0,0,0,2,0,0.079,0.013,0.013,0.000,0.000,0.000,0.026,0.000
49,9,host,sterilized,1,host,9as,25,79,8,4,1,0,0,0,0,0,0.101,0.051,0.013,0.000,0.000,0.000,0.000,0.000
19,4,host,sterilized,1,host,4as,144,81,1,0,0,1,0,0,0,0,0.012,0.000,0.000,0.012,0.000,0.000,0.000,0.000
25,5,host,sterilized,1,host,5as,90,81,3,0,0,1,0,0,0,0,0.037,0.000,0.000,0.012,0.000,0.000,0.000,0.000
13,3,host,sterilized,1,host,3as,48,81,7,5,2,0,0,0,1,0,0.086,0.062,0.025,0.000,0.000,0.000,0.012,0.000
7,2,host,sterilized,1,host,2as,47,88,1,1,0,0,0,0,0,0,0.011,0.011,0.000,0.000,0.000,0.000,0.000,0.000
1,1,host,sterilized,1,host,1as,96,100,27,9,13,0,0,0,0,0,0.270,0.090,0.130,0.000,0.000,0.000,0.000,0.000
43,8,host,sterilized,1,host,8as,81,63,4,4,0,0,0,0,0,0,0.063,0.063,0.000,0.000,0.000,0.000,0.000,0.000
55,10,host,sterilized,1,host,10as,108,76,9,8,1,0,0,0,0,1,0.118,0.105,0.013,0.000,0.000,0.000,0.000,0.013
61,11,host,sterilized,1,host,11as,58,87,7,1,3,0,1,0,0,1,0.080,0.011,0.034,0.000,0.011,0.000,0.000,0.011
67,12,host,sterilized,1,host,12as,34,66,3,2,0,0,0,0,1,0,0.045,0.030,0.000,0.000,0.000,0.000,0.015,0.000
10,2,host-parasite,innoculated,4,host,2bi,130,56,18,13,0,4,0,0,0,1,0.321,0.232,0.000,0.071,0.000,0.000,0.000,0.018
40,7,host-parasite,innoculated,4,host,7bi,82,84,19,10,2,7,0,0,0,0,0.226,0.119,0.024,0.083,0.000,0.000,0.000,0.000
46,8,host-parasite,innoculated,4,host,8bi,53,85,4,4,0,0,0,0,0,0,0.047,0.047,0.000,0.000,0.000,0.000,0.000,0.000
